name,id,shortName,domainType,formName,valueType,categoryCombo.id
Stavudine/Lamivudine/Nevirapine (d4T/3TC/NVP) FDC (30/150/200mg) Tabs     ,lJVW33AqmD7,Stavudine/Lamivudine/Nevirapine (d4T/3TC,AGGREGATE,,NUMBER,RwIRFyY2lOj
Sterile Bottles,NfWmjYQ8cGu,Sterile Bottles,AGGREGATE,,NUMBER,QnscZ8fCMLK
Still birth,mmqXlRfsXlf,Still birth,AGGREGATE,Still birth,NUMBER,OzshuDqmXQI
Stock control cards present and updated for latest delivery,vhNHRKAMQ1D,Stock control cards prese,AGGREGATE,"",BOOLEAN,OzshuDqmXQI
"Stock-outs during last quarter (ACT, vaccines, cotrimoxazole, FP, paracetamol)",IfH2HLLTjOX,Stock-outs during last qu,AGGREGATE,"",BOOLEAN,OzshuDqmXQI
Stomach Cancer,YUkC5Uufv4m,Stomach Cancer,AGGREGATE,Stomach ,NUMBER,fSYbuxChNc7
Stool Polypots,jJqhRILBNJI,Stool Polypots,AGGREGATE,,NUMBER,pAosldF6LjN
Stromatolyser,SaPqanqJxTt,Stromatolyser,AGGREGATE,,NUMBER,T9CjMgX3RDT
Sub County MDR Comm. No.,Zppt4qPxvop,Sub County MDR Comm. No.,TRACKER,Sub County MDR Comm. No.,NUMBER,OzshuDqmXQI
"Suction catheters size with Regulatory Valve, 4 FG ",I9nMcDXsE5u,Suction catheters  regula,AGGREGATE,"",NUMBER,QnscZ8fCMLK
"Suction catheters with Regulatory Valve,size 18FG",WzYogCUzlqJ,Suction catheters with Rv,AGGREGATE,"",NUMBER,QnscZ8fCMLK
Sulphuric Acid,uEjOaAgSrHf,Sulphuric Acid,AGGREGATE,,NUMBER,QnscZ8fCMLK
Sulphuric acid,Zv6shnA8Pyk,Sulphuric acid,AGGREGATE,,NUMBER,pAosldF6LjN
Sum of days in which any of the tracer medicines was not available in a month,CyuIp6ClNjW,days tracer medicines not available,AGGREGATE,AWP 1.4.3,NUMBER,OzshuDqmXQI
Sum of days in which any of the vaccines was not available in a month,FW4LaFhijsF,days vaccines was not available,AGGREGATE,MOH 710,NUMBER,OzshuDqmXQI
Sum of days in which the major equipment were functional in a month by KEPH level,ZDsP2rzKjF7,days major equipment were functional,AGGREGATE,,NUMBER,OzshuDqmXQI
Supermarkers,uNQ0PIE0BqQ,Supermarkers,AGGREGATE,,NUMBER,Fm5re1KAnSu
Suplimentary Old admission return defaulters,sgvaNvr1bSv,Return Defaulters,AGGREGATE,,NUMBER,KmCE1IuvK1i
Suplimentary:  Average Length of Stay in Days -Nutrition,YF0mQ7x3gao,SFP ALOS,AGGREGATE,Average Length of Stay in Days -Nutrition,NUMBER,KmCE1IuvK1i
Suplimentary: Beneficiaries at the begining of the Month,pimwRmCH3vZ,Suplimentary: Beneficiaries at the begining,AGGREGATE,Suplimentary: Beneficiaries at the begining of the Month,NUMBER,KmCE1IuvK1i
Suplimentary: Beneficiaries who Received CSB/Unimix,xZkyYTbBimP,Suplimentary Beneficiaries who Received CSB/Unimix,AGGREGATE,Beneficiaries who Received CSB/Unimix,NUMBER,KmCE1IuvK1i
Suplimentary: OBD (Cummulative number of days for all Patients)-Nutrition,uK4Xo8S4bF4,Suplimentary: OBD (Cummulative number of days for,AGGREGATE,,NUMBER,KmCE1IuvK1i
Suplimentary: Old Admission transfer from other OTP/SC,B7xc7C2bwmI,from other OTP/SC,AGGREGATE,,NUMBER,KmCE1IuvK1i
Suplimentary: Transfer out to OTP/SFP/SC,QXybJlzWD9W,Suplimentary: Transfer out to OTP/SFP/SC,AGGREGATE,,NUMBER,KmCE1IuvK1i
Suplimentary: Transfer to other OTP/SFP/SC sites,FksFT9tLlVa,Suplimentary: Transfer to other OTP/SFP/SC sites,AGGREGATE,,NUMBER,KmCE1IuvK1i
Suplimentary:Beneficiaries at the begining of the Month,HrmAmq7vWCw,Beneficiaries at the begining of the Month,AGGREGATE,Suplimentary: Beneficiaries at the begining of the Month,NUMBER,KmCE1IuvK1i
Supplementary : Total admissions,wsNIq7kbCFO,Supplementary : Total admissions,AGGREGATE,Total admissions,NUMBER,KmCE1IuvK1i
Supplementary : Transfer to other OTP/SFP/SC sites,nx3F6PZyjwv,Supplementary : Transfer to other OTP/SFP/SC sites,AGGREGATE,Supplementary : Transfer to other OTP/SFP/SC sites,NUMBER,KmkcJWhClpw
Supplementary: In household food security Programme,TbXCu29MECh,Supplementary: In household food security Programm,AGGREGATE,,NUMBER,KmCE1IuvK1i
Supplementary: Total admissions,FSV3jQqqx6p,Supplementary: Total admissions,AGGREGATE,,NUMBER,KmCE1IuvK1i
Supplementary:Total Exits,vB6cPLkbDUX,Supplementary:Total Exits,AGGREGATE,Total Exits,NUMBER,KmCE1IuvK1i
Supplimentary New admission cases,cs3igWdcTtr,Supplimentary New admission cases,AGGREGATE,,NUMBER,KmCE1IuvK1i
Supplimentary: Beneficiaries who Received RUSF Sachet,qpzNVRGYcaX,Beneficiaries who Received RUSF Sachet,AGGREGATE,Beneficiaries who Received RUSF Sachet,NUMBER,KmCE1IuvK1i
Supplimentary: Beneficiaries who Received veg Oil,dfX1YnSB9Te,Supplimentary: Beneficiaries who Received veg Oil,AGGREGATE,Beneficiaries who Received veg Oil,NUMBER,KmCE1IuvK1i
Supplimentary: Discharge Cured,myEpgfhSPLZ,Supplimentary: Discharge Cured,AGGREGATE,,NUMBER,KmCE1IuvK1i
Supplimentary: Discharge Death,SX03cV81yb0,Supplimentary: Discharge Death,AGGREGATE,,NUMBER,KmCE1IuvK1i
Supplimentary: Discharge Defaulters,sLFHgquSRGx,Supplimentary: Discharge Defaulters,AGGREGATE,,NUMBER,KmCE1IuvK1i
Supplimentary: Discharge Non Recovered,WGdahj4S1QU,Supplimentary: Discharge Non Recovered,AGGREGATE,,NUMBER,KmCE1IuvK1i
Supplimentary: Old Admission relapses,IJnsnK5HtAt,Supplimentary: Old Admission relapses,AGGREGATE,,NUMBER,KmCE1IuvK1i
Supply services unit Kitchen,hcrihVS5hEX,Supply services unit Kitc,AGGREGATE,Supply services unit Kitchen,NUMBER,Q43v3zeHepn
Supply services unit Laundry,PNVaorkxu1a,Laundry,AGGREGATE,Laundry,NUMBER,Q43v3zeHepn
Support group sessions,nSUu9STsCBB,Support group sessions,AGGREGATE,Support group sessions,NUMBER,OzshuDqmXQI
Support provision of referral services from lower levels,aUSVBTvCaqO,Referral lowerlevel,AGGREGATE,"",NUMBER,OzshuDqmXQI
Support staff,TwxXW4oeIPy,Support staff,AGGREGATE,"",NUMBER,OzshuDqmXQI
Supportive Attitude ,VsyS36DtY6b,Supportive Attitude ,TRACKER,Supportive Attitude,NUMBER,OzshuDqmXQI
Supreme Council of Kenya Muslims (SUPKEM),J3NQmkHjCIv,Supreme Council of Kenya ,AGGREGATE,"",NUMBER,JIPKk3RFWjZ
Surgical Clinics attendances,Izvuj3rkju4,Surgical Clinics attendances,AGGREGATE,,NUMBER,qPP7Kcg7Zn2
Surgical Female Ward,rAvVxANpmvq,Surgical Female Ward,AGGREGATE,Surgical Female,NUMBER,GVgTbt2nTZR
Surgical Male Ward,slxcaBIJQFz,Surgical Male Ward,AGGREGATE,Surgical Male,NUMBER,GVgTbt2nTZR
Surgical paediatric ,knorevTYX7E,Surgical paediatric ,AGGREGATE,,NUMBER,GVgTbt2nTZR
Suspected  Malaria,Lt0FqtnHraW,Suspected  Malaria,AGGREGATE,,INTEGER_ZERO_OR_POSITIVE,Ecq8142JVb0
"Sutures, Nylon No.  2/0 1/2"" circle reverse, Cutting Needle,26mm,75cm Non-absorbable (sterile)",U6MwEWxDoOv,"Sutures, Nylon No.  2/0 1",AGGREGATE,"",NUMBER,QnscZ8fCMLK
"Sutures, Nylon No. 0  1/2""  , Cutting Needle,90mm,100cm,Non-absorbable (sterile)",jTpQBSWtsSh,"Sutures, Nylon No. 0  1/2",AGGREGATE,"",NUMBER,QnscZ8fCMLK
"Sutures, Polyglactin 910 sutures No 0 RBN,40mm,75cm,Absorbable (sterile)",WoV99x6zWHq,"Sutures, Polyglactin 0RBN",AGGREGATE,"",NUMBER,QnscZ8fCMLK
"Sutures, Polyglactin 910 sutures No 2/0RBN 31mm ½ circle 75cm Absorbable (sterile)",wVb6Y4NNewE,"Sutures, Polyglactin 2RBN",AGGREGATE,"",NUMBER,QnscZ8fCMLK
"Sutures, Polyglactin 910 sutures No 3/0 RBN,20mm 75cm,Absorbable (sterile)",arukDdy2Q8v,"Sutures, Polyglactin 3RBN",AGGREGATE,"",NUMBER,QnscZ8fCMLK
"Sutures, Polygractin 910 sutures No 1 RBN 40mm ,75cm Absorbable (sterile)",f7TwQSsmA3a,"Sutures, Polygractin 1RBN",AGGREGATE,"",NUMBER,QnscZ8fCMLK
"Sutures,Polyglactin 910 sutures No 2, 1/2 circle reverse cutting Needle, 45mm, 75cm Absorbable (sterile)",FQse32iW1f3,"Sutures,Polyglactin2, 910",AGGREGATE,"",NUMBER,QnscZ8fCMLK
"Sutures,Polyglactin 910 sutures No 8/0 ,micropoint -spatula,6.5mm,30cm Absorbable (sterile)",QOqzSWTfRFI,"Sutures,Polyglactin 910",AGGREGATE,"",NUMBER,QnscZ8fCMLK
Swabs Growth,bcjH9ef5h2N,Swabs Growth,AGGREGATE,,NUMBER,OzshuDqmXQI
Swabs NGO,okR9mOv3XCz,Swabs NGO,AGGREGATE,,NUMBER,OzshuDqmXQI
Symphysiotomy,YvuT0Y1svwi,Symphysiotomy,TRACKER,Symphysiotomy,TEXT,OzshuDqmXQI
"Symptoms, signs and abnormal clinical and laboratory findings",MlsdItoJLAQ,R00 - R99,AGGREGATE,,NUMBER,XO6tR7mFaFk
Syphilis Serology,P15TN95Ie3F,Syphilis Serology,AGGREGATE,Syphilis Serology,NUMBER,THV8GytEJLx
Syringes 10ml disposable with  G 21 Needle,jFZGjPqSeYb,Syringes 10ml disposable ,AGGREGATE,"",NUMBER,QnscZ8fCMLK
Syringes 2ml with G 21needle(Reuse Prevention Syringes),FLWy5xkYIjs,Syringes 2ml with G 21,AGGREGATE,"",NUMBER,QnscZ8fCMLK
Syringes 2ml with G23 Needle (Reuse Prevention Syringes),s3DeMFwGnhL,Syringes 2ml with G23 ,AGGREGATE,"",NUMBER,QnscZ8fCMLK
Syringes 5ml with  one G 21needle (Reuse Prevention Syringes),M2bOd9aw3lQ,Syringes 5ml with  1 G21,AGGREGATE,"",NUMBER,QnscZ8fCMLK
"Syringes, Insulin,  with 29G Needle",opHZCcQMqYC,"Syringes, Insulin",AGGREGATE,"",NUMBER,QnscZ8fCMLK
Sysmex,NApbCswZ9TL,Sysmex,AGGREGATE,Sysmex,NUMBER,OzshuDqmXQI
TB Central Register (District),qB8QbGt7TMa,TB Central Register ,AGGREGATE,,NUMBER,QnscZ8fCMLK
TB Contacts Traced And Refered,V0CrsIvnrss,TB Contacts Traced And Refered,AGGREGATE,TB Contacts Traced And Refered,INTEGER_ZERO_OR_POSITIVE,OzshuDqmXQI
TB Defaulters,KmLPBDUi48L,TB Defaulters,AGGREGATE,TB Defaulters,NUMBER,kKVDf8tERP4
TB HIV +ve,TaPlnJYM7xR,TB HIV +ve,AGGREGATE,,NUMBER,OzshuDqmXQI
TB HIV +ve New cases,Fxpb5GSA5Hw,TB HIV +ve New cases,AGGREGATE,,NUMBER,Fq4iwciMzrS
TB HIV +ve at re-treatment,vl4vEyQKRST,TB HIV +ve at re-treat,AGGREGATE,,NUMBER,fAl1xpvHK5z
TB HIV -ve,bexEzR0n8Xj,TB HIV -ve,AGGREGATE,,NUMBER,OzshuDqmXQI
TB HIV patient on CPT,Mn3FQ9r5Wtp,TB HIV on CPT,AGGREGATE,TB HIV patient on CPT,NUMBER,kKVDf8tERP4
TB HIV+ve EPTB cases,FYj5t8OFvGJ,TB HIV+veEPTB cases,AGGREGATE,,NUMBER,OzshuDqmXQI
TB HIV+ve smear negative,O2NuZPyi3WA,TB HIV+ve smear negative,AGGREGATE,,NUMBER,OzshuDqmXQI
TB HIV+ve smear positive,FrFUekT9i0F,HIV+ve smear+,AGGREGATE,,NUMBER,OzshuDqmXQI
TB Patient  Starting on ART ,uWLO8ch320Q,TB Patient  Starting ART,AGGREGATE,TB patients Starting ART,INTEGER,OzshuDqmXQI
TB Patient Collected test result,GqCRft3xkIO,TB Patient,AGGREGATE,,NUMBER,kKVDf8tERP4
TB Patients tested for HIV,oq4vCrIRVxb,TB Patients tested HIV,AGGREGATE,TB Patients tested for HIV,NUMBER,kKVDf8tERP4
TB Record Cards,Ooj9e8h7RZL,TB Record Cards,AGGREGATE,,NUMBER,QnscZ8fCMLK
TB Tested for HIV EPTB cases,QbZFaTFaOxM,TB tested HIV EPTB,AGGREGATE,,NUMBER,OzshuDqmXQI
TB Tested for HIV at re-treatment,tZMwwcE2MkM,TB Tested HIV re-treat,AGGREGATE,,NUMBER,fAl1xpvHK5z
TB Tested for HIV new cases,Gc68AZ3ZvEU,TB Tested for HIV new cas,AGGREGATE,,NUMBER,Fq4iwciMzrS
TB Tested for HIV smear negative,aBRqPHYd58L,TB Smear-ve HIV,AGGREGATE,,NUMBER,OzshuDqmXQI
TB Tested for HIV smear positive,yOkg5ovpmss,TB Tested smear HIV+ve,AGGREGATE,,NUMBER,OzshuDqmXQI
TB Treatment Registers (Facility),P4gYS89pthQ,TB Treatment Registe,AGGREGATE,,NUMBER,QnscZ8fCMLK
TB and Leprosy attendance,WEW9Bjga52F,TB and Leprosy atten,AGGREGATE,,NUMBER,qPP7Kcg7Zn2
TB appointment Cards,TNZywAZkgFB,TB appointment Cards,AGGREGATE,,NUMBER,QnscZ8fCMLK
TB cases detected,BRzqHfgsmn9,TB cases detected,AGGREGATE,TB cases detected,NUMBER,kKVDf8tERP4
TB cases detected-AOP-yr,f8QhYSDvbu1,TB detected-AOP-yr,AGGREGATE,,NUMBER,kf71FZpb4Xc
TB cases on MN,EHpxv5uZxts,TB cases on MN,AGGREGATE,TB cases on MN,NUMBER,OzshuDqmXQI
TB cases on treatment at the end of the quarter,jssKukD3L9S,TB cases RX QRT ,AGGREGATE,TB cases on treatment at the end of the quarter,NUMBER,onnsIUHVquv
TB cases on treatment at the end of the quarter on MDR,xyxfPVVpdR0,TB cases on treatment at ,AGGREGATE,TB cases on treatment at the end of the quarter on MDR,INTEGER_ZERO_OR_POSITIVE,onnsIUHVquv
TB cases referred TO,w9lxv0xc1Qr,TB cases referred TO,AGGREGATE,TB cases referred TO,NUMBER,EZCG8ZVEZkz
TB deaths,aTBJvDJQAF0,TB deaths,AGGREGATE,TB deaths,NUMBER,kKVDf8tERP4
TB patient not tested,ja0pKidQDyR,TB not tested,AGGREGATE,,NUMBER,OzshuDqmXQI
TB patient on FS,RwS3Hb7xXmO,TB patient on FS,AGGREGATE,TB patient on FS,NUMBER,OzshuDqmXQI
TB patient on nutrional support,As7siK2fA2i,TB No on nutrional sup,AGGREGATE,,NUMBER,OzshuDqmXQI
TB patients HIV+ve,bhFvc6EeCTC,TB patients HIV+ve,AGGREGATE,TB patients HIV+ve,NUMBER,kKVDf8tERP4
TB patients on NC,T8TVFR9DgLm,TB patients on NC,AGGREGATE,TB patients on NC,NUMBER,OzshuDqmXQI
TB patients on nutritional Support,UjsO1hqhpYk,TB patients on nutritiona,AGGREGATE,TB patients on nutritional Support,NUMBER,OzshuDqmXQI
TB patients started on treatment,NOjB1z1H63H,TB patients started on tr,AGGREGATE,"",NUMBER,OzshuDqmXQI
TB patients tested for HIV,jnRAS7B3piw,TB tested HIV,AGGREGATE,,NUMBER,kKVDf8tERP4
TB patients who have completed treatment,oiZ7R6su8ZX,TB patients completed Rx,AGGREGATE,TB patients who have completed treatment,NUMBER,kKVDf8tERP4
TB patients who have completed treatment-AOP-yr,DwpHRQarMFh,TB complete Rx-AOP-yr,AGGREGATE,,NUMBER,kf71FZpb4Xc
TBLabCDRR_1-Molecular Testing (NAAT) (pcs),Ym9iCgNl5nD,TBLabCDRR_1-Molecular Testing (NAAT) (pcs),AGGREGATE,Molecular Testing (NAAT) (pcs),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_10-MTBDR plus Version 2 (pcs),zAdgFbAwuKQ,TBLabCDRR_10-MTBDR plus Version 2 (pcs),AGGREGATE,MTBDR plus Version 2 (pcs),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_100-Magnetic stirrer bar (pcs),JESxlGtH9Hy,TBLabCDRR_100-Magnetic stirrer bar (pcs),AGGREGATE,Magnetic stirrer bar (pcs),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_101-Hand Disinfectant (pcs),MMGkF8KmfIa,TBLabCDRR_101-Hand Disinfectant (pcs),AGGREGATE,Hand Disinfectant (pcs),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_102-Bench liner (pcs),VHFYRzKdyLi,TBLabCDRR_102-Bench liner (pcs),AGGREGATE,Bench liner (pcs),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_103-Clear Bioharzard bags for hood (pcs),YgEc1IhbcYl,TBLabCDRR_103-Clear Bioharzard bags for hood (pcs),AGGREGATE,Clear Bioharzard bags for hood (pcs),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_104-MGIT TUBE 7ML 1st Line DST (pcs),uEnyTGaEAqo,TBLabCDRR_104-MGIT TUBE 7ML 1st Line DST (pcs),AGGREGATE,MGIT TUBE 7ML 1st Line DST (pcs),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_105-MGIT SIRE kit (ml),NFwcPY8vi0Z,TBLabCDRR_105-MGIT SIRE kit (ml),AGGREGATE,MGIT SIRE kit (ml),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_106-MGiT PZA tube (pcs),Ch1SvNs2tXw,TBLabCDRR_106-MGiT PZA tube (pcs),AGGREGATE,MGiT PZA tube (pcs),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_107-MGIT PZA kit (ml),CD01RgQKa5X,TBLabCDRR_107-MGIT PZA kit (ml),AGGREGATE,MGIT PZA kit (ml),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_108-PANTA Supplement (ml),lBTfQQsChnz,TBLabCDRR_108-PANTA Supplement (ml),AGGREGATE,PANTA Supplement (ml),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_109-Disposable loops 10 ul (pcs),vhKPfTbooQY,TBLabCDRR_109-Disposable loops 10 ul (pcs),AGGREGATE,Disposable loops 10 ul (pcs),INTEGER_ZERO_OR_POSITIVE,axQvNPII7An
TBLabCDRR_11-Flourotype MTBDR (pcs),B3PYIZ2RhCj,TBLabCDRR_11-Flourotype MTBDR (pcs),AGGREGATE,Flourotype MTBDR (pcs),INTEGER_ZERO_OR_POSITIVE,axQvNPII7An
TBLabCDRR_110-Capilia test kits(TBCTBcid kit) (pcs),IQLI4jSV5Md,TBLabCDRR_110-Capilia test kits(TBCTBcid kit) (pcs,AGGREGATE,Capilia test kits(TBCTBcid kit) (pcs),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_111-ATCC 12600 Staph aureus (ml),ffEZUPRvops,TBLabCDRR_111-ATCC 12600 Staph aureus (ml),AGGREGATE,ATCC 12600 Staph aureus (ml),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_112-ATCC 25922 E.coli (ml),V3UAt8KsAxs,TBLabCDRR_112-ATCC 25922 E.coli (ml),AGGREGATE,ATCC 25922 E.coli (ml),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_113-ATCC 19542 Fortuitum (ml),UdJTJZ3zHkj,TBLabCDRR_113-ATCC 19542 Fortuitum (ml),AGGREGATE,ATCC 19542 Fortuitum (ml),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_114-MGIT tubes 2nd line DST (tube),ZWObDNiRJmZ,TBLabCDRR_114-MGIT tubes 2nd line DST (tube),AGGREGATE,MGIT tubes 2nd line DST (tube),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_115-Kanamycin cat215348(BD) (gms),u2aJDgyB7pB,TBLabCDRR_115-Kanamycin cat215348(BD) (gms),AGGREGATE,Kanamycin cat215348(BD) (gms),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_116-Moxifloxacin cat 21539(BD) (gms),LZ8epMHWk0p,TBLabCDRR_116-Moxifloxacin cat 21539(BD) (gms),AGGREGATE,Moxifloxacin cat 21539(BD) (gms),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_117-Amikacin cat 2153509BD) (gms),p3DqiCktkXx,TBLabCDRR_117-Amikacin cat 2153509BD) (gms),AGGREGATE,Amikacin cat 2153509BD) (gms),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_118-Capreomycin cat 215351(BD) (gms),TytSo99ZROc,TBLabCDRR_118-Capreomycin cat 215351(BD) (gms),AGGREGATE,Capreomycin cat 215351(BD) (gms),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_119-Ofloxacin cat 215352(BD) (gms),exuAl88FwSZ,TBLabCDRR_119-Ofloxacin cat 215352(BD) (gms),AGGREGATE,Ofloxacin cat 215352(BD) (gms),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_12-Molecular water biology grade (mls),Rp5q5FpXFJo,TBLabCDRR_12-Molecular water biology grade (mls),AGGREGATE,Molecular water biology grade (mls),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_120-Ethionamide cat 215355 (gms),g6qHXxBHwf3,TBLabCDRR_120-Ethionamide cat 215355 (gms),AGGREGATE,Ethionamide cat 215355 (gms),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_121-Protionamid (gms),AcdtOa83cQ6,TBLabCDRR_121-Protionamid (gms),AGGREGATE,Protionamid (gms),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_122-PARA AMINO SALICYLIC ACID (gms),dAyJSrfu7nV,TBLabCDRR_122-PARA AMINO SALICYLIC ACID (gms),AGGREGATE,PARA AMINO SALICYLIC ACID (gms),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_123-Delaminid(GDF) (gms),VBx4zMdt21i,TBLabCDRR_123-Delaminid(GDF) (gms),AGGREGATE,Delaminid(GDF) (gms),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_124-Bedaquiline(40mg)BD (gms),w9WhhPEIXwW,TBLabCDRR_124-Bedaquiline(40mg)BD (gms),AGGREGATE,Bedaquiline(40mg)BD (gms),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_125-Levofloxacin(1G) (gms),mH3ebQYr2pS,TBLabCDRR_125-Levofloxacin(1G) (gms),AGGREGATE,Levofloxacin(1G) (gms),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_126-Linezolid(10mg)GDF (gms),oXf4YsaAV5d,TBLabCDRR_126-Linezolid(10mg)GDF (gms),AGGREGATE,Linezolid(10mg)GDF (gms),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_127-D-CYCLOSERINE (gms),kn0BUex58oW,TBLabCDRR_127-D-CYCLOSERINE (gms),AGGREGATE,D-CYCLOSERINE (gms),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_128-ATCC 12600 Staph aureus (ml),fYM4nkrmaY7,TBLabCDRR_128-ATCC 12600 Staph aureus (ml),AGGREGATE,ATCC 12600 Staph aureus (ml),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_129-ATCC 25922 E.coli (ml),FPXKYCpH0fj,TBLabCDRR_129-ATCC 25922 E.coli (ml),AGGREGATE,ATCC 25922 E.coli (ml),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_13-PCR tubes tray (pcs),zqoh61OoRRe,TBLabCDRR_13-PCR tubes tray (pcs),AGGREGATE,PCR tubes tray (pcs),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_130-ATCC 19542 Fortuitum (ml),CPxgN6ahFKV,TBLabCDRR_130-ATCC 19542 Fortuitum (ml),AGGREGATE,ATCC 19542 Fortuitum (ml),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_131-Sputum containers (pieces) (pieces),MZOSHpNrmtA,TBLabCDRR_131-Sputum containers (pieces) (pieces),AGGREGATE,Sputum containers (pieces) (pieces),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_132-Slides Frosted (pieces) (pieces),b1O1xYQ8cZn,TBLabCDRR_132-Slides Frosted (pieces) (pieces),AGGREGATE,Slides Frosted (pieces) (pieces),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_133-Auramine (gms) (gms),rjDIHQ8FMjm,TBLabCDRR_133-Auramine (gms) (gms),AGGREGATE,Auramine (gms) (gms),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_134-Phenol crystals(for basic stain- (gms) (gms),z2VNNgNDxgQ,TBLabCDRR_134-Phenol crystals(for basic stain- (gm,AGGREGATE,Phenol crystals(for basic stain- (gms) (gms),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_135-Ethanol/Methanol (decoloriser)- mls (mls),WBtxpSUzxvm,TBLabCDRR_135-Ethanol/Methanol (decoloriser)- mls,AGGREGATE,Ethanol/Methanol (decoloriser)- mls (mls),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_136-Decontaminant/Disinfectant (gms) (gms),lJgQPM6ZKI3,TBLabCDRR_136-Decontaminant/Disinfectant (gms) (gm,AGGREGATE,Decontaminant/Disinfectant (gms) (gms),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_137-Basic fuchsin (gm) (gms),w2eL0nivE33,TBLabCDRR_137-Basic fuchsin (gm) (gms),AGGREGATE,Basic fuchsin (gm) (gms),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_138-sulphuric acid (Destaining reagent) (mls) (mls),G3uzKWvkmCx,TBLabCDRR_138-sulphuric acid (Destaining reagent),AGGREGATE,sulphuric acid (Destaining reagent) (mls) (mls),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_139-Hydrochloric acid (mls) (mls),K3wwiobVZbD,TBLabCDRR_139-Hydrochloric acid (mls) (mls),AGGREGATE,Hydrochloric acid (mls) (mls),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
"TBLabCDRR_14-cryovials for molecular biology, sterile with cap, 1.5 ml (tubes)",g6TsLm3MnAA,"TBLabCDRR_14-cryovials for molecular biology, ster",AGGREGATE,"cryovials for molecular biology, sterile with cap, 1.5 ml (tubes)",INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
TBLabCDRR_140-Ethanol /Methanol 95% (mls) (mls),hRSow81bUkE,TBLabCDRR_140-Ethanol /Methanol 95% (mls) (mls),AGGREGATE,Ethanol /Methanol 95% (mls) (mls),INTEGER_ZERO_OR_POSITIVE,ZRi1cz06BRC
